PUBCHEM_COMPOUND_ID_TYPE,PUBCHEM_TOTAL_CHARGE,PUBCHEM_SUBSTANCE_ID,PUBCHEM_SUBSTANCE_VERSION,PUBCHEM_EXT_DATASOURCE_NAME,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_SUBSTANCE_SYNONYM,PUBCHEM_XREF_EXT_ID,PUBCHEM_EXT_DATASOURCE_URL,PUBCHEM_EXT_SUBSTANCE_URL,PUBCHEM_CID_ASSOCIATIONS,PUBCHEM_COORDINATE_TYPE,ID,ROMol,PUBCHEM_SUBSTANCE_COMMENT,PUBCHEM_BONDANNOTATIONS,similarity
0,0,377715594,1,Specs,AK-778/11348007,"1-{2-[2-hydroxy-3-(1-piperidinyl)propoxy]phenyl}-3-phenyl-1-propanone
AK-778/11348007",AK-778/11348007,http://www.specs.net,http://www.specs.net/enter.php?specsid=AK-778/11348007,2856734  1,"1
3",377715594,<rdkit.Chem.rdchem.Mol object at 0x0000020A23721850>,Salt: HCl,,1.0
0,0,375568852,1,Specs,AG-205/05910026,"1-(benzylamino)-3-(9H-carbazol-9-yl)-2-propanol
AG-205/05910026",AG-205/05910026,http://www.specs.net,http://www.specs.net/enter.php?specsid=AG-205/05910026,2864699  1,"1
3",375568852,<rdkit.Chem.rdchem.Mol object at 0x0000020A237A21F0>,,,1.0
0,0,439941951,1,Specs,AO-365/43532198,"1-{2-[2-hydroxy-3-(1-pyrrolidinyl)propoxy]phenyl}-3-phenyl-1-propanone
AO-365/43532198",AO-365/43532198,http://www.specs.net,http://www.specs.net/enter.php?specsid=AO-365/43532198,10316068  1,"1
3",439941951,<rdkit.Chem.rdchem.Mol object at 0x0000020A2023A110>,,,0.9777777777777777
0,0,439941939,1,Specs,AJ-145/37035003,"1-{2-[2-hydroxy-3-(4-morpholinyl)propoxy]phenyl}-3-phenyl-1-propanone
AJ-145/37035003",AJ-145/37035003,http://www.specs.net,http://www.specs.net/enter.php?specsid=AJ-145/37035003,10022009  1,"1
3",439941939,<rdkit.Chem.rdchem.Mol object at 0x0000020A2023A6C0>,Salt: HCl,,0.803921568627451
0,0,439941952,1,Specs,AO-365/43532200,"1-{2-[2-hydroxy-3-(4-methyl-1-piperidinyl)propoxy]phenyl}-3-phenyl-1-propanone
AO-365/43532200",AO-365/43532200,http://www.specs.net,http://www.specs.net/enter.php?specsid=AO-365/43532200,155486322  1,"1
3",439941952,<rdkit.Chem.rdchem.Mol object at 0x0000020A2023A0A0>,,,0.7735849056603774
0,0,363681570,1,Specs,AG-690/11638093,"1-(1H-1,2,3-benzotriazol-1-yl)-3-(9H-carbazol-9-yl)-2-propanol
AG-690/11638093",AG-690/11638093,http://www.specs.net,http://www.specs.net/enter.php?specsid=AG-690/11638093,3122142  1,"1
3",363681570,<rdkit.Chem.rdchem.Mol object at 0x0000020A237EB920>,,,0.7441860465116279
0,0,439942020,1,Specs,AP-263/43532141,"1-(9H-carbazol-9-yl)-3-[(2-chlorobenzyl)amino]-2-propanol
AP-263/43532141",AP-263/43532141,http://www.specs.net,http://www.specs.net/enter.php?specsid=AP-263/43532141,137948183  1,"1
3",439942020,<rdkit.Chem.rdchem.Mol object at 0x0000020A201FFB50>,,,0.6666666666666666
0,0,402425512,1,Specs,AU-059/43521661,"2-[4-[2-(4-methoxyphenyl)-5,6,7,8-tetrahydrobenzothiopheno[2,3-d]pyrimidin-4-yl]piperazin-1-yl]ethanol
AU-059/43521661",AU-059/43521661,http://www.specs.net,http://www.specs.net/enter.php?specsid=AU-059/43521661,50896434  1,"1
3",402425512,<rdkit.Chem.rdchem.Mol object at 0x0000020A202F3E60>,,,0.6617647058823529
0,0,383535122,1,Specs,AO-022/43514175,"N-(1,3-benzodioxol-5-yl)-2-[(3-isopropyl[1,2,4]triazolo[4,3-b]pyridazin-6-yl)sulfanyl]acetamide
AO-022/43514175",AO-022/43514175,http://www.specs.net,http://www.specs.net/enter.php?specsid=AO-022/43514175,122714919  1,"1
3",383535122,<rdkit.Chem.rdchem.Mol object at 0x0000020A214DFE60>,,,0.6521739130434783
0,0,439941894,1,Specs,AE-641/30180009,"1-(9H-carbazol-9-yl)-3-(isopropylamino)-2-propanol
AE-641/30180009",AE-641/30180009,http://www.specs.net,http://www.specs.net/enter.php?specsid=AE-641/30180009,2854791  1,"1
3",439941894,<rdkit.Chem.rdchem.Mol object at 0x0000020A2023BC30>,,,0.65
0,0,406166450,1,Specs,AP-263/43522654,"1-(allylamino)-3-(9H-carbazol-9-yl)-2-propanol
AP-263/43522654",AP-263/43522654,http://www.specs.net,http://www.specs.net/enter.php?specsid=AP-263/43522654,137916533  1,"1
3",406166450,<rdkit.Chem.rdchem.Mol object at 0x0000020A202B5540>,,,0.6341463414634146
0,0,342615010,1,Specs,AP-970/43507319,"2-amino-N-(4-methoxyphenyl)-3-quinolinecarboxamide
AP-970/43507319",AP-970/43507319,http://www.specs.net,http://www.specs.net/enter.php?specsid=AP-970/43507319,14177190  1,"1
3",342615010,<rdkit.Chem.rdchem.Mol object at 0x0000020A24925EE0>,,,0.6326530612244898
0,0,342614936,1,Specs,AP-970/43507119,"2-[4-(benzyloxy)phenyl]-1H-benzimidazole
AP-970/43507119",AP-970/43507119,http://www.specs.net,http://www.specs.net/enter.php?specsid=AP-970/43507119,19224118  1,"1
3",342614936,<rdkit.Chem.rdchem.Mol object at 0x0000020A24959310>,,,0.6216216216216216
0,0,17122329,6,Specs,AN-919/14547145,"2-amino-1-(4-chlorophenyl)-4-(2,5-dimethoxyphenyl)-7,7-dimethyl-3-(4-methylbenzoyl)-4,6,7,8-tetrahydro-5(1H)-quinolinone
AN-919/14547145",AN-919/14547145,http://www.specs.net,http://www.specs.net/enter.php?specsid=AN-919/14547145,135494638  1,"1
3",17122329,<rdkit.Chem.rdchem.Mol object at 0x0000020A1F181310>,,,0.6197183098591549
0,0,17007342,4,Specs,AG-690/11668175,"ethyl 7-methyl-2-(4-methylbenzylidene)-5-(4-methylphenyl)-3-oxo-2,3-dihydro-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate
AG-690/11668175",AG-690/11668175,http://www.specs.net,http://www.specs.net/enter.php?specsid=AG-690/11668175,5759120  1,"1
3",17007342,<rdkit.Chem.rdchem.Mol object at 0x0000020A1F07F920>,,,0.6142857142857143
0,0,342615048,1,Specs,AP-970/43507380,"4-(5,6-dimethyl-1H-benzimidazol-2-yl)aniline
AP-970/43507380",AP-970/43507380,http://www.specs.net,http://www.specs.net/enter.php?specsid=AP-970/43507380,14641349  1,"1
3",342615048,<rdkit.Chem.rdchem.Mol object at 0x0000020A24924430>,,,0.5897435897435898
0,0,383535780,1,Specs,CS-003/03968037,"2-phenyl-1H-benzimidazol-5-ol
CS-003/03968037",CS-003/03968037,http://www.specs.net,http://www.specs.net/enter.php?specsid=CS-003/03968037,802112  1,"1
3",383535780,<rdkit.Chem.rdchem.Mol object at 0x0000020A213B9380>,Salt: HBr,,0.5882352941176471
