Batch_No,EC50_nM,Set,Molecular_Weight,ALogP,ID,ROMol,hERG_Prediction,hERG_Probability,Risk_Level
C200-0001,140,Drug-like,359.39958,1.599,MMV019066,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3A00>,1,0.725,MEDIUM
5152606,255,Probe-like,389.53313,4.763,MMV665941,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3760>,1,0.6775,MEDIUM
G420-0124,92.8,Probe-like,476.90184,5.664,MMV396680,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A35A0>,1,0.65,MEDIUM
3184-0690,154,Probe-like,637.71978,7.027,MMV666601,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3370>,1,0.62375,MEDIUM
4358-4455,232,Probe-like,380.43695,4.71,MMV008294,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2E30>,1,0.68375,MEDIUM
D724-0234,85.7,Drug-like,321.30036,4.628,MMV011259,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2C70>,1,0.5616666666666666,MEDIUM
STK531013,142,Probe-like,367.52431,4.764,MMV019406,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A27A0>,1,0.69,MEDIUM
STK068962,378,Drug-like,200.27954,3.105,MMV006278,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2500>,1,0.80875,HIGH
STK324781,263,Probe-like,476.03283,7.219,MMV666688,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A23B0>,1,0.7425,MEDIUM
OSSK_578009,400,Drug-like,250.29846,3.1,MMV019110,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A21F0>,1,0.62,MEDIUM
C909-0373,78.2,Drug-like,463.95431,4.494,MMV006427,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1FC0>,1,0.725,MEDIUM
5376856,282,Probe-like,571.66316,7.027,MMV666062,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1EE0>,1,0.575,MEDIUM
2641-1589,180,Probe-like,510.42105,6.828,MMV020885,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1E70>,1,0.695,MEDIUM
C614-0191,194,Probe-like,278.34832,5.292,MMV000570,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1850>,1,0.675,MEDIUM
D305-0414,512,Drug-like,459.60636,4.446,MMV020439,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1460>,1,0.865,HIGH
F2392-0731-1,433,Drug-like,396.46962,4.766,MMV396672,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1150>,1,0.645,MEDIUM
STK544185,345,Drug-like,329.372,2.415,MMV019871,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1070>,1,0.8683333333333334,HIGH
STL043528,237,Probe-like,592.6479,7.336,MMV085583,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1000>,1,0.79,MEDIUM
STK007737,242.5,Probe-like,228.3327,4.017,MMV008416,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0DD0>,1,0.8004166666666666,HIGH
