PUBCHEM_COMPOUND_ID_TYPE,PUBCHEM_TOTAL_CHARGE,PUBCHEM_SUBSTANCE_ID,PUBCHEM_SUBSTANCE_VERSION,PUBCHEM_EXT_DATASOURCE_NAME,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_SUBSTANCE_SYNONYM,PUBCHEM_XREF_EXT_ID,PUBCHEM_EXT_DATASOURCE_URL,PUBCHEM_EXT_SUBSTANCE_URL,PUBCHEM_CID_ASSOCIATIONS,PUBCHEM_COORDINATE_TYPE,ID,ROMol,PUBCHEM_SUBSTANCE_COMMENT,PUBCHEM_BONDANNOTATIONS,hERG_Prediction,hERG_Probability,Risk_Level
0,0,469753576,1,Specs,AT-057/43486374,"N-(2,6-dimethylphenyl)-1-(4-methoxyphenyl)-2-(5-methyl-2-furyl)-4-oxo-2-azetidinecarboxamide
AT-057/43486374",AT-057/43486374,http://www.specs.net,http://www.specs.net/enter.php?specsid=AT-057/43486374,20418545  1,"1
3",469753576,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0CF0>,,,1,0.715,MEDIUM
0,0,469753575,1,Specs,AT-057/43208227,"ethyl 4-({3-[4-(methoxycarbonyl)benzyl]-2,4-dioxo-1,3-thiazolidin-5-yl}amino)benzoate
AT-057/43208227",AT-057/43208227,http://www.specs.net,http://www.specs.net/enter.php?specsid=AT-057/43208227,16368515  1,"1
3",469753575,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0D60>,,,1,0.7,MEDIUM
0,0,469753574,1,Specs,AN-584/43496265,"4-bromo-2-methyl-6-nitroaniline
AN-584/43496265",AN-584/43496265,http://www.specs.net,http://www.specs.net/enter.php?specsid=AN-584/43496265,522679  1,"1
3",469753574,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0DD0>,,,0,0.285,LOW
0,0,469753573,1,Specs,AN-584/42110634,"5-{[4-(2-pyridinyl)-1-piperazinyl]methyl}-8-quinolinol
AN-584/42110634",AN-584/42110634,http://www.specs.net,http://www.specs.net/enter.php?specsid=AN-584/42110634,1090306  1,"1
3",469753573,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0E40>,,,1,0.85,HIGH
0,0,469753572,1,Specs,AN-584/40470516,"3-methyl-2-pyridinecarboxamide
AN-584/40470516",AN-584/40470516,http://www.specs.net,http://www.specs.net/enter.php?specsid=AN-584/40470516,16641023  1,"1
3",469753572,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0F20>,,,1,0.515,MEDIUM
0,0,469753571,1,Specs,AN-584/14220158,"2-[(3-chloro-4-methylphenyl)imino]-1,3-thiazolidin-4-one
AN-584/14220158",AN-584/14220158,http://www.specs.net,http://www.specs.net/enter.php?specsid=AN-584/14220158,136981387  1,"1
3",469753571,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0F90>,,,1,0.6416666666666666,MEDIUM
0,0,469753570,1,Specs,AM-814/41092606,"4-[bis(4-chlorophenyl)methyl]-3,5-dimethyl-1H-pyrazole-1-carboximidamide
AM-814/41092606",AM-814/41092606,http://www.specs.net,http://www.specs.net/enter.php?specsid=AM-814/41092606,164575813  1,"1
3",469753570,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1000>,Salt: HCl,,0,0.46,LOW
0,0,469753569,1,Specs,AK-087/40841622,"1-[2,4-dihydroxy-3-(3-methyl-2-butenyl)phenyl]ethanone
AK-087/40841622",AK-087/40841622,http://www.specs.net,http://www.specs.net/enter.php?specsid=AK-087/40841622,10932971  1,"1
3",469753569,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1070>,,,0,0.445,LOW
0,0,469753568,1,Specs,AH-153/31146018,"N-(4-chlorophenyl)hydrazinecarbothioamide
AH-153/31146018",AH-153/31146018,http://www.specs.net,http://www.specs.net/enter.php?specsid=AH-153/31146018,706988  1,"1
3",469753568,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1150>,,,0,0.5,MEDIUM
0,0,469753567,1,Specs,AH-153/31146017,"N-(2-chlorophenyl)hydrazinecarbothioamide
AH-153/31146017",AH-153/31146017,http://www.specs.net,http://www.specs.net/enter.php?specsid=AH-153/31146017,717704  1,"1
3",469753567,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1230>,,,1,0.56,MEDIUM
0,0,469753566,1,Specs,AG-690/13771892,"4-(4-chloro-6-morpholin-4-ylpyrimidin-2-yl)morpholine
AG-690/13771892",AG-690/13771892,http://www.specs.net,http://www.specs.net/enter.php?specsid=AG-690/13771892,686334  1,"1
3",469753566,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A12A0>,,,1,0.6216666666666666,MEDIUM
0,0,469753565,1,Specs,AG-690/11556099,"4-allyl-5-(2,4-dichlorophenyl)-4H-1,2,4-triazole-3-thiol
AG-690/11556099",AG-690/11556099,http://www.specs.net,http://www.specs.net/enter.php?specsid=AG-690/11556099,757846  1,"1
3",469753565,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A13F0>,,,1,0.7183333333333333,MEDIUM
0,0,469753564,1,Specs,AG-205/03651061,"2-chloro-4,6-di(4-morpholinyl)-1,3,5-triazine
AG-205/03651061",AG-205/03651061,http://www.specs.net,http://www.specs.net/enter.php?specsid=AG-205/03651061,224967  1,"1
3",469753564,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1460>,,,0,0.4716666666666666,LOW
0,0,469753563,1,Specs,AF-731/00083003,"5-methyl-4-phenyl-4H-1,2,4-triazole-3-thiol
AF-731/00083003",AF-731/00083003,http://www.specs.net,http://www.specs.net/enter.php?specsid=AF-731/00083003,785151  1,"1
3",469753563,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1540>,,,1,0.595,MEDIUM
0,0,469753562,1,Specs,AE-420/30083005,"methyl 2-[1-(2-pyridinyl)ethylidene]hydrazinecarbodithioate
AE-420/30083005",AE-420/30083005,http://www.specs.net,http://www.specs.net/enter.php?specsid=AE-420/30083005,5947235  1,"1
3",469753562,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1620>,,,1,0.66,MEDIUM
0,0,469753561,1,Specs,AE-420/30083002,"methyl 2-(2-pyridinylmethylene)hydrazinecarbodithioate
AE-420/30083002",AE-420/30083002,http://www.specs.net,http://www.specs.net/enter.php?specsid=AE-420/30083002,6789060  1,"1
3",469753561,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1690>,,,1,0.685,MEDIUM
0,0,439941942,3,Specs,AN-584/43532065,"N-(4-hydroxycyclohexyl)-6-phenylhexanamide
AN-584/43532065",AN-584/43532065,http://www.specs.net,http://www.specs.net/enter.php?specsid=AN-584/43532065,154665740  1,"1
3",439941942,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1770>,,"4  2  5
5  10  6",1,0.62,MEDIUM
0,0,406166504,3,Specs,AU-059/43521620,"N-(3,4-dichlorobenzoyl)glutamic acid
AU-059/43521620",AU-059/43521620,http://www.specs.net,http://www.specs.net/enter.php?specsid=AU-059/43521620,49875237  1,"1
3",406166504,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1850>,,"5  4  5
5  21  6",0,0.39,LOW
